Abkuerzung;Anzahl;Kategorie
navi;33473;has_navigation
tdi;22479;has_additional_motortechnology
led;21269;
tsi;20417;has_additional_motortechnology
dsg;14722;has_doubleclutch_transmission
pdc;13904;has_assistence_systems
klima;12650;has_acc
ahk;12162;has_trailer_hitch
edition;11653;
shz;10633;has_heated_seats
style;9812;
kamera;9542;has_assistence_systems
sport;8709;has_sport_features
hybrid;8638;
acc;7876;has_acc
line;7777;
automatik;7247;
tfsi;6961;has_additional_motortechnology
leder;6872;has_leather_interior
quattro;6584;has_all_wheel_drive
aut;6520;
pano;6262;has_panoramic_roof
lim;5573;has_assistence_systems
cdi;5534;has_additional_motortechnology
combi;5104;is_combi
ps;4993;
turbo;4918;has_additional_motortechnology
tce;4570;has_doubleclutch_transmission
awd;4553;has_all_wheel_drive
neu;4535;
hand;4523;
dpf;4386;has_diesel_particel_feature
wd;4340;
fr;4329;has_sport_features
dab;4195;has_dab_radio
amg;4128;has_sport_features
titanium;4116;
avant;4084;is_combi
coupe;4001;is_coupe
comfortline;3943;
cabrio;3882;is_cabrio
sportback;3824;has_sport_features
xenon;3694;
active;3664;
kw;3650;
tüv;3628;has_tuev
elegance;3456;
trend;3330;
xdrive;3321;has_all_wheel_drive
matic;3257;
